
Count Name
----- ----
  429 C:\unificard\backend\src\modules\marketplace\marketplace.service.ts
  235 C:\unificard\frontend\src\api\marketplace.ts
   86 C:\unificard\backend\src\core\unifybank\regional-fund-governance.service.ts
   79 C:\unificard\backend\src\core\companies\companies.service.ts
   66 C:\unificard\backend\src\modules\cultural\cultural-event.service.ts
   66 C:\unificard\backend\src\modules\marketplace\purchase-order.repository.ts
   64 C:\unificard\backend\src\modules\marketplace\marketplace.routes.ts
   62 C:\unificard\backend\src\modules\rides\rides.types.ts
   52 C:\unificard\backend\src\modules\groups\groups.repository.ts
   47 C:\unificard\backend\src\core\pilot\pilot-invites.repository.ts
   44 C:\unificard\backend\src\modules\rides\vehicle-compliance\vehicle-compliance.routes.ts
   43 C:\unificard\backend\src\modules\marketplace\accounts-payable.repository.ts
   42 C:\unificard\backend\src\modules\events\event.repository.ts
   41 C:\unificard\backend\src\modules\services\service-order.repository.ts
   36 C:\unificard\backend\src\modules\social\social-2.0.service.ts
   34 C:\unificard\backend\src\modules\bank\bank-limit.repository.ts
   33 C:\unificard\backend\src\modules\marketplace\accounts-receivable.repository.ts
   32 C:\unificard\backend\src\modules\subscriptions\subscription.repository.ts
   32 C:\unificard\backend\src\modules\marketplace\event-settlement.repository.ts
   32 C:\unificard\backend\src\core\profile\profile-education-companies.service.ts
   32 C:\unificard\backend\src\core\audit\audit.service.ts
   31 C:\unificard\backend\src\modules\events\events.service.ts
   31 C:\unificard\backend\src\modules\groups\votes.repository.ts
   31 C:\unificard\backend\src\modules\marketplace\inventory-sla.service.ts
   30 C:\unificard\backend\src\modules\reports\financial-report.service.ts
   30 C:\unificard\backend\src\core\memory\memory.repository.ts
   30 C:\unificard\backend\src\modules\reports\sales-report.service.ts
   29 C:\unificard\backend\src\modules\payments\payment-link.repository.ts
   29 C:\unificard\backend\src\modules\presence\presence.repository.ts
   29 C:\unificard\backend\src\core\pilot\institutional-memory.repository.ts
   28 C:\unificard\backend\src\core\events\event-refund-chargeback.service.ts
   28 C:\unificard\backend\src\modules\marketplace\settlement.repository.ts
   28 C:\unificard\backend\src\modules\crm\crm.service.ts
   27 C:\unificard\backend\src\modules\events\organizers\organizer-billing.service.ts
   26 C:\unificard\backend\src\core\events\event.service.ts
   25 C:\unificard\backend\src\modules\marketplace\stock-transfer.repository.ts
   25 C:\unificard\backend\src\core\unifybank\transparency.service.ts
   25 C:\unificard\backend\src\modules\marketplace\unifycard.repository.ts
   25 C:\unificard\backend\src\modules\events\ticket-sale.repository.ts
   25 C:\unificard\backend\src\modules\escrow\escrow.repository.ts
   24 C:\unificard\backend\src\modules\social\reputation.service.ts
   24 C:\unificard\backend\src\modules\marketplace\inventory-reservation.repository.ts
   24 C:\unificard\backend\src\modules\crm\crm.repository.ts
   24 C:\unificard\backend\src\modules\automation\scheduled-action.repository.ts
   24 C:\unificard\backend\src\modules\venue\tab.repository.ts
   24 C:\unificard\backend\src\core\availability\unified-availability.repository.ts
   24 C:\unificard\backend\src\modules\payout\payout.repository.ts
   23 C:\unificard\backend\src\modules\votes\votes.repository.ts
   23 C:\unificard\backend\src\modules\marketplace\regional-fee.repository.ts
   23 C:\unificard\backend\src\modules\live-chat\live-presence.repository.ts
   23 C:\unificard\backend\src\modules\payments\pix.repository.ts
   23 C:\unificard\backend\src\modules\marketplace\fiscal-document.repository.ts
   22 C:\unificard\backend\src\modules\policy-engine\policy.repository.ts
   21 C:\unificard\backend\src\modules\pdv\pdv.repository.ts
   21 C:\unificard\backend\src\core\profile\pending-responsibilities.routes.ts
   21 C:\unificard\backend\src\core\actor-delegation\actor-delegation.repository.ts
   20 C:\unificard\backend\src\core\events\event-payment-prepared.service.ts
   20 C:\unificard\backend\src\modules\marketplace\stock-transfer-receipt.repository.ts
   20 C:\unificard\backend\src\core\economy\fund\fund-dashboard.service.ts
   20 C:\unificard\backend\src\core\identity\identity.service.ts
   20 C:\unificard\backend\src\modules\economy\economic-overview.projector.ts
   20 C:\unificard\backend\src\modules\events\event-checkin.repository.ts
   20 C:\unificard\backend\src\core\user-group-allocation\user-group-allocation.repository.ts
   19 C:\unificard\backend\src\modules\marketplace\fulfillment.repository.ts
   19 C:\unificard\backend\src\core\profile\profile-health-facts.repository.ts
   19 C:\unificard\backend\src\core\reputation\trust.service.ts
   19 C:\unificard\backend\src\core\categories\categories.repository.ts
   19 C:\unificard\backend\src\modules\payments\pix-webhook.repository.ts
   18 C:\unificard\backend\src\core\reporting\reporting.repository.ts
   18 C:\unificard\backend\src\core\observability\observability-passive.repository.ts
   18 C:\unificard\backend\src\modules\cultural\cultural-profile.service.ts
   18 C:\unificard\backend\src\core\auth\webauthn.repository.ts
   18 C:\unificard\backend\src\modules\social\impact.service.ts
   17 C:\unificard\backend\src\modules\organization\organization-invite.repository.ts
   17 C:\unificard\backend\src\modules\contextual-messaging\contextual-thread.repository.ts
   17 C:\unificard\backend\src\modules\rides\rides\rides.service.ts
   17 C:\unificard\backend\src\modules\events\event-ticket.repository.ts
   17 C:\unificard\backend\src\modules\rides\analytics\analytics.routes.ts
   17 C:\unificard\backend\src\core\economy\escrow.service.ts
   17 C:\unificard\backend\src\modules\services\service-payment-request.repository.ts
   17 C:\unificard\backend\src\core\companies\company-validation.service.ts
   16 C:\unificard\backend\src\modules\automation\alert.repository.ts
   16 C:\unificard\backend\src\modules\rides\availability\availability.service.ts
   16 C:\unificard\backend\src\modules\marketplace\inventory-lot.repository.ts
   16 C:\unificard\backend\src\core\events\operational-commitments.service.ts
   15 C:\unificard\backend\src\modules\bank\bank-balance-by-region.service.ts
   15 C:\unificard\backend\src\modules\marketplace\contact.repository.ts
   15 C:\unificard\backend\src\core\pilot\pilot-events.repository.ts
   15 C:\unificard\backend\src\core\pilot\pilot-checklist.repository.ts
   15 C:\unificard\backend\src\modules\system-notifications\system-notification.repository.ts
   15 C:\unificard\backend\src\modules\rides\safety\safety.service.ts
   15 C:\unificard\backend\src\modules\loyalty\loyalty.repository.ts
   14 C:\unificard\backend\src\modules\loyalty\loyalty-voucher.repository.ts
   14 C:\unificard\backend\src\modules\rides\drivers\drivers.service.ts
   14 C:\unificard\backend\src\modules\trust\trust.repository.ts
   14 C:\unificard\backend\src\modules\invoicing\invoice.repository.ts
   14 C:\unificard\backend\src\modules\work\workers\worker.service.ts
   14 C:\unificard\backend\src\modules\organization\organization-member.repository.ts
   14 C:\unificard\backend\src\modules\bank\bank-ledger.repository.ts
   14 C:\unificard\backend\src\modules\pdv\pdv.service.ts
   14 C:\unificard\backend\src\modules\social\social-group.repository.ts
   13 C:\unificard\backend\src\core\memory\memory.types.ts
   13 C:\unificard\backend\src\core\config\config.service.ts
   13 C:\unificard\backend\src\jobs\event-scheduler.ts
   13 C:\unificard\backend\src\core\memory\memory.model.ts
   13 C:\unificard\backend\src\modules\bank\bank-transaction.service.ts
   13 C:\unificard\backend\src\core\reputation\reputation.service.ts
   13 C:\unificard\backend\src\modules\groups\votes.types.ts
   13 C:\unificard\backend\src\core\actor-registry\actor-registry.service.ts
   13 C:\unificard\backend\src\modules\evidence\evidence.repository.ts
   13 C:\unificard\backend\src\modules\organization\organization-unit.repository.ts
   13 C:\unificard\backend\src\modules\events\organizers\organizers.service.ts
   12 C:\unificard\backend\src\modules\services\service-payment-execution.repository.ts
   12 C:\unificard\backend\src\modules\marketplace\payout-transaction.repository.ts
   12 C:\unificard\backend\src\core\profile\profile-professional.service.ts
   12 C:\unificard\backend\src\core\profile\profile.service.ts
   12 C:\unificard\backend\src\core\events\event-custody.service.ts
   12 C:\unificard\backend\src\core\availability\unified-availability.types.ts
   12 C:\unificard\backend\src\modules\venue\venue-menu.repository.ts
   12 C:\unificard\backend\src\modules\catalog\catalog.service.ts
   11 C:\unificard\backend\src\core\auth\auth.service.ts
   11 C:\unificard\backend\src\modules\services\services.repository.ts
   11 C:\unificard\backend\src\modules\bank\bank-account.repository.ts
   11 C:\unificard\backend\src\modules\care\care.repository.ts
   11 C:\unificard\backend\src\modules\marketplace\region-account.repository.ts
   11 C:\unificard\backend\src\scripts\check-profile-records.ts
   11 C:\unificard\backend\src\modules\work\work.types.ts
   11 C:\unificard\backend\src\modules\inbox\social-inbox.repository.ts
   11 C:\unificard\backend\src\modules\loyalty\loyalty-rule.repository.ts
   11 C:\unificard\backend\src\core\tenants\tenant.service.ts
   11 C:\unificard\backend\src\core\reputation\penalty.service.ts
   11 C:\unificard\frontend\src\utils\trustSignals.ts
   11 C:\unificard\backend\src\modules\social\social-ledger.service.ts
   11 C:\unificard\backend\src\core\economy\ledger\ledger.service.ts
   11 C:\unificard\backend\src\modules\rides\availability\availability.routes.ts
   11 C:\unificard\backend\src\core\rbac\rbac.service.ts
   11 C:\unificard\backend\src\modules\public-profiles\public-profile.repository.ts
   11 C:\unificard\backend\src\modules\rides\lifecycle\lifecycle.routes.ts
   10 C:\unificard\backend\src\modules\dispatch\opportunity-dispatch.repository.ts
   10 C:\unificard\frontend\src\api\votes.ts
   10 C:\unificard\backend\src\modules\groups\votes.service.ts
   10 C:\unificard\backend\src\modules\services\service-booking-decision.repository.ts
   10 C:\unificard\backend\src\modules\marketplace\order.repository.ts
   10 C:\unificard\backend\src\modules\events\events.types.ts
   10 C:\unificard\backend\src\modules\agreements\agreement.repository.ts
   10 C:\unificard\backend\src\core\events\specs\event-spec.service.ts
   10 C:\unificard\backend\src\modules\rides\promotions\promotions.service.ts
   10 C:\unificard\backend\src\modules\marketplace\product-attribute.repository.ts
   10 C:\unificard\backend\src\modules\presence\promo-benefit.repository.ts
   10 C:\unificard\backend\src\core\notify\notify.service.ts
    9 C:\unificard\backend\src\core\events\event-payment-execution.service.ts
    9 C:\unificard\frontend\src\components\events\wizard\pages\BirthdayProfilePage.tsx
    9 C:\unificard\frontend\src\components\events\wizard\BirthdayWizard.tsx
    9 C:\unificard\backend\src\modules\marketplace\payment-intent.repository.ts
    9 C:\unificard\backend\src\modules\bank\bank-limit.service.ts
    9 C:\unificard\backend\src\modules\business-audit\business-audit.repository.ts
    9 C:\unificard\backend\src\core\economy\fund\fund.service.ts
    9 C:\unificard\backend\src\modules\rides\vehicles\vehicles.service.ts
    9 C:\unificard\backend\src\modules\marketplace\product-variant.repository.ts
    9 C:\unificard\backend\src\core\economy\fund\fund-admin.service.ts
    9 C:\unificard\backend\src\modules\events\occupancy.service.ts
    9 C:\unificard\backend\src\modules\social\social.repository.ts
    9 C:\unificard\backend\src\modules\marketplace\payment-transaction.repository.ts
    9 C:\unificard\backend\scripts\debug-profile-save.ts
    9 C:\unificard\backend\src\core\events\event-split-declarative.service.ts
    9 C:\unificard\backend\src\modules\marketplace\fiscal-provider.sefaz.ts
    8 C:\unificard\backend\src\core\economy\transactions\transaction.service.ts
    8 C:\unificard\backend\src\scripts\seed-dev-user.ts
    8 C:\unificard\backend\src\modules\marketplace\promotion.repository.ts
    8 C:\unificard\backend\src\core\identity\identity.routes.ts
    8 C:\unificard\backend\src\modules\marketplace\product.repository.ts
    8 C:\unificard\backend\src\core\categories\ssot-observability.service.ts
    8 C:\unificard\backend\src\scripts\seed-dev-complete.ts
    8 C:\unificard\backend\src\modules\presence\checkin.repository.ts
    8 C:\unificard\backend\src\modules\bank\bank-balance-consolidation.service.ts
    8 C:\unificard\backend\src\services\employee\EmployeeService.ts
    8 C:\unificard\backend\src\modules\bank\bank-reconciliation-history.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\inventory-adjustment.repository.ts
    8 C:\unificard\backend\src\modules\social-actions\social-actions.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\inventory-balance.repository.ts
    8 C:\unificard\backend\src\modules\live-chat\chat-message.repository.ts
    8 C:\unificard\backend\src\core\calendar\unified-calendar.service.ts
    8 C:\unificard\backend\src\core\catalog\canonical\canonical-product.service.ts
    8 C:\unificard\backend\src\modules\marketplace\tax-profile.repository.ts
    8 C:\unificard\backend\src\modules\rides\drivers\vehicles\vehicles.service.ts
    8 C:\unificard\backend\src\modules\social\social-marketplace-ref.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\company-profile.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\business-segment.repository.ts
    7 C:\unificard\backend\src\core\economy\accounts\account.service.ts
    7 C:\unificard\backend\src\modules\marketplace\fiscal-provider-attempt.repository.ts
    7 C:\unificard\backend\src\modules\profile\commitments.routes.ts
    7 C:\unificard\backend\src\core\events\event-rsvp.service.ts
    7 C:\unificard\backend\src\modules\marketplace\product-price.repository.ts
    7 C:\unificard\backend\src\modules\bank\bank-split.repository.ts
    7 C:\unificard\backend\src\core\categories\categories.service.ts
    7 C:\unificard\backend\src\modules\work\jobs\job.service.ts
    7 C:\unificard\backend\src\core\publication\publication-engine.service.ts
    7 C:\unificard\backend\src\modules\marketplace\supplier.repository.ts
    7 C:\unificard\backend\src\modules\social\actor.repository.ts
    7 C:\unificard\backend\src\modules\human-mvp\human-mvp-activity-execution.service.ts
    7 C:\unificard\backend\src\modules\marketplace\inventory-movement.repository.ts
    7 C:\unificard\backend\src\modules\marketplace\order-status-history.repository.ts
    7 C:\unificard\backend\src\core\events\idempotency-tracker.ts
