"FileName","FullPath","Class","SizeKB","LastChange","Reasons"
"DESIGN SYSTEM & GOLDEN PATH.txt","C:\unificard\docs\06_DIAGNOSTICOS\DESIGN SYSTEM & GOLDEN PATH.txt","archive","2,04","20/01/2026 18:46:54","class=archive, discard-token, score>=2"
"fix-professional-level2-complete.md","C:\unificard\docs\fix-professional-level2-complete.md","archive","5,11","10/01/2026 08:02:41","class=archive, discard-token, score>=2"
"GOLDEN_PATH.md","C:\unificard\docs\GOLDEN_PATH.md","archive","2,6","27/12/2025 15:54:48","class=archive, discard-token, score>=2"
"CATEGORY_HARDENING_CHECKLIST.md","C:\unificard\docs\05_CHECKLISTS\CATEGORY_HARDENING_CHECKLIST.md","decisions","11,27","20/01/2026 03:46:53","decision-operational"
"category-input-gate-complete.md","C:\unificard\docs\category-input-gate-complete.md","decisions","4,49","20/01/2026 03:46:49","decision-operational"
"category-input-gate.md","C:\unificard\docs\category-input-gate.md","decisions","4","20/01/2026 03:46:49","decision-operational, tiny"
"CHECK_DUPLICIDADE_OBRIGATORIO.md","C:\unificard\docs\05_CHECKLISTS\CHECK_DUPLICIDADE_OBRIGATORIO.md","decisions","5,35","17/01/2026 22:04:59","decision-operational"
"CHECKLIST_ATIVACAO_PILOTO_INTERNO.md","C:\unificard\docs\CHECKLIST_ATIVACAO_PILOTO_INTERNO.md","decisions","19,27","12/01/2026 21:05:59","decision-operational"
"CHECKLIST_CI_REGRESSAO_TEMPORAL.md","C:\unificard\docs\05_CHECKLISTS\CHECKLIST_CI_REGRESSAO_TEMPORAL.md","decisions","8,17","20/01/2026 03:46:53","decision-operational"
"CHECKLIST_CORRECOES_CRITICAS.md","C:\unificard\docs\checklist\CHECKLIST_CORRECOES_CRITICAS.md","decisions","3,46","03/01/2026 04:35:16","decision-operational"
"CHECKLIST_CURSOR_EVENTOS.md","C:\unificard\docs\checklist\CHECKLIST_CURSOR_EVENTOS.md","decisions","7,05","28/12/2025 23:18:26","decision-operational"
"CHECKLIST_CURSOR_UNIFICARD.md","C:\unificard\docs\database\CHECKLIST_CURSOR_UNIFICARD.md","decisions","9,84","01/01/2026 15:20:09","decision-operational"
"CHECKLIST_EMPRESAS_CURSOR.md","C:\unificard\docs\database\CHECKLIST_EMPRESAS_CURSOR.md","decisions","3,84","01/01/2026 21:03:19","decision-operational"
"CHECKLIST_FASE_10_V2 (1).md","C:\unificard\docs\checklist\CHECKLIST_FASE_10_V2 (1).md","decisions","45,68","28/12/2025 17:13:08","decision-operational"
"CHECKLIST_FASE_10_V2.md","C:\unificard\docs\checklist\CHECKLIST_FASE_10_V2.md","decisions","36,77","28/12/2025 16:46:23","decision-operational"
"CHECKLIST_IMPLEMENTACAO_EVENTOS.md","C:\unificard\docs\checklist\CHECKLIST_IMPLEMENTACAO_EVENTOS.md","decisions","30,76","28/12/2025 04:47:22","decision-operational"
"CHECKLIST_IMPLEMENTACAO.md","C:\unificard\docs\CHECKLIST_IMPLEMENTACAO.md","decisions","2,69","17/12/2025 14:04:32","decision-operational"
"CHECKLIST_MIGRATION_098_GRUPOS.md","C:\unificard\docs\checklist\CHECKLIST_MIGRATION_098_GRUPOS.md","decisions","5,49","30/12/2025 03:19:06","decision-operational"
"CHECKLIST_PRE_FRONTEND_OBRIGATORIO.md","C:\unificard\docs\CHECKLIST_PRE_FRONTEND_OBRIGATORIO.md","decisions","5,91","20/01/2026 07:04:57","decision-operational"
"CHECKLIST_TECNICO_IMPLEMENTACAO_EVENTOS.md","C:\unificard\docs\checklist\CHECKLIST_TECNICO_IMPLEMENTACAO_EVENTOS.md","decisions","4,62","03/01/2026 04:35:16","decision-operational"
"FASE_5_CHECKLIST_PR.md","C:\unificard\docs\BACKEND\03_CHECKS_E_GUARDRAILS\FASE_5_CHECKLIST_PR.md","decisions","1,5","20/01/2026 23:00:24","decision-operational"
"FASE_5_CHECKLIST_QA_TESTES.md","C:\unificard\docs\BACKEND\03_CHECKS_E_GUARDRAILS\FASE_5_CHECKLIST_QA_TESTES.md","decisions","2","20/01/2026 23:09:18","decision-operational, tiny"
"FASE_6_1_CHECKLIST_PR_FRONTEND.md","C:\unificard\docs\FRONTEND\03_VALIDACOES_E_REGRAS_DE_CLIENTE\FASE_6_1_CHECKLIST_PR_FRONTEND.md","decisions","1,56","20/01/2026 23:41:59","decision-operational"
"FASE_6_CHECKLIST_PR.md","C:\unificard\docs\11_FASES\fase_6_economia\FASE_6_CHECKLIST_PR.md","decisions","1,97","20/01/2026 23:17:52","decision-operational"
"FASE_6_CHECKLIST_QA.md","C:\unificard\docs\11_FASES\fase_6_economia\FASE_6_CHECKLIST_QA.md","decisions","2,71","20/01/2026 23:32:40","decision-operational"
"frontend-profile-categories-checklist.md","C:\unificard\docs\frontend-profile-categories-checklist.md","decisions","3,17","07/01/2026 09:33:55","decision-operational"
"frontend-profile-final-checklist.md","C:\unificard\docs\frontend-profile-final-checklist.md","decisions","1,8","07/01/2026 09:33:55","decision-operational"
"GATE_D15_INDEXACAO.md","C:\unificard\docs\07_ONBOARDING\indexacao\GATE_D15_INDEXACAO.md","decisions","3,12","21/01/2026 21:39:42","decision-operational"
"golden_path_smoke_test.md","C:\unificard\docs\checklist\golden_path_smoke_test.md","decisions","8,1","27/12/2025 17:47:00","decision-operational"
"golden_path.md","C:\unificard\docs\checklist\golden_path.md","decisions","2,6","27/12/2025 15:54:48","decision-operational"
"groups-category-validation-checklist.md","C:\unificard\docs\groups-category-validation-checklist.md","decisions","2,56","07/01/2026 09:33:55","decision-operational"
"implementacao_identity_status_gate.md","C:\unificard\docs\02_decisions\implementacao_identity_status_gate.md","decisions","7,64","03/01/2026 06:38:34","decision-operational"
"PRODUCTION_CHECKLIST.md","C:\unificard\docs\PRODUCTION_CHECKLIST.md","decisions","3,18","20/01/2026 03:46:51","decision-operational"
"profile-final-checklist.md","C:\unificard\docs\profile-final-checklist.md","decisions","3,79","07/01/2026 09:33:55","decision-operational"
"profile-validation-checklist.md","C:\unificard\docs\profile-validation-checklist.md","decisions","5,57","07/01/2026 09:33:55","decision-operational"
"relatorio_validacao_final_eventos.md","C:\unificard\docs\checklist\relatorio_validacao_final_eventos.md","decisions","5,5","03/01/2026 04:35:16","decision-operational"
"setup-category-input-gate.md","C:\unificard\docs\setup-category-input-gate.md","decisions","2,92","20/01/2026 03:46:49","decision-operational"
"smoke_test_analysis.md","C:\unificard\docs\checklist\smoke_test_analysis.md","decisions","3,77","03/01/2026 04:35:16","decision-operational"
"smoke_test_checklist.md","C:\unificard\docs\checklist\smoke_test_checklist.md","decisions","4,32","03/01/2026 04:35:16","decision-operational"
"smoke_test_ready.md","C:\unificard\docs\checklist\smoke_test_ready.md","decisions","2,93","03/01/2026 04:35:16","decision-operational"
"smoke_test_results.md","C:\unificard\docs\checklist\smoke_test_results.md","decisions","5,04","03/01/2026 04:35:16","decision-operational"
"smoke-test-checklist.md","C:\unificard\docs\smoke-test-checklist.md","decisions","4,99","07/01/2026 09:33:55","decision-operational"
"SPRINT_00_CONTACTS.md","C:\unificard\docs\SPRINT_00_CONTACTS.md","decisions","7,98","16/01/2026 21:35:29","decision-operational"
"SPRINT_1_UNIFY_BANK_TAREFAS_ATOMICAS.md","C:\unificard\docs\SPRINT_1_UNIFY_BANK_TAREFAS_ATOMICAS.md","decisions","41,7","12/01/2026 07:52:04","decision-operational"
"SPRINT_41.2_HARDENING.md","C:\unificard\docs\SPRINT_41.2_HARDENING.md","decisions","5,94","16/01/2026 21:35:28","decision-operational"
"SPRINT_41.3_UX_OPERACIONAL.md","C:\unificard\docs\SPRINT_41.3_UX_OPERACIONAL.md","decisions","6,5","16/01/2026 21:35:29","decision-operational"
"SPRINT_42.1_PDV_CORE.md","C:\unificard\docs\SPRINT_42.1_PDV_CORE.md","decisions","8,13","16/01/2026 21:35:29","decision-operational"
"SPRINT_42.2_PDV_PAGAMENTO.md","C:\unificard\docs\SPRINT_42.2_PDV_PAGAMENTO.md","decisions","6","16/01/2026 21:35:29","decision-operational"
"SPRINT_42.3_PDV_FECHAMENTO.md","C:\unificard\docs\SPRINT_42.3_PDV_FECHAMENTO.md","decisions","6,69","16/01/2026 21:35:29","decision-operational"
"SPRINT_43_ESTOQUE_RESERVA.md","C:\unificard\docs\SPRINT_43_ESTOQUE_RESERVA.md","decisions","7,56","16/01/2026 21:35:29","decision-operational"
"SPRINT_44_DOCUMENTO_FISCAL.md","C:\unificard\docs\SPRINT_44_DOCUMENTO_FISCAL.md","decisions","5,7","16/01/2026 21:35:29","decision-operational"
"SPRINT_45_FISCAL_ADAPTER.md","C:\unificard\docs\SPRINT_45_FISCAL_ADAPTER.md","decisions","6,18","16/01/2026 21:35:29","decision-operational"
"SPRINT_46_RELATORIOS.md","C:\unificard\docs\SPRINT_46_RELATORIOS.md","decisions","6,91","16/01/2026 21:35:29","decision-operational"
