"SHA256","Count","Files"
"250098281E0BD7A7B331B3AAA0C9AEB8D10AA9FDFE9CB956BD751AB9B8AD72A5","2","C:\unificard\docs\prompts\PROMPT_CURSOR_SPLIT_CORRECOES (1).md | C:\unificard\docs\prompts\PROMPT_CURSOR_SPLIT_CORRECOES.md"
"3ABC8CCCDE0EDD17ABA00D16A3EF8C4EF967C7C2EBB27AC1886395A36C5D22C1","2","C:\unificard\docs\EDGE_CASES_EVENTOS.md | C:\unificard\docs\decisions\edge_cases_eventos.md"
"4405EC091146F58FB80F4D6520C7870A2F8E070CB210D1D75C1070FAFEFD6898","2","C:\unificard\docs\ANTI_PATTERNS.md | C:\unificard\docs\architecture\anti_patterns.md"
"5A819605577D45097CC79C7699FC64865DD74F2B6BE7086F6A61731DBBA05887","2","C:\unificard\docs\prompts\PROMPT_CURSOR_GRUPOS_ECONOMICOS (1).md | C:\unificard\docs\prompts\PROMPT_CURSOR_GRUPOS_ECONOMICOS.md"
"7CB62D2CF53871DD5DB0B645F4C79AAD6EB0A146B437A25CAFEC5BCDD329B8C2","2","C:\unificard\docs\FLUXO_VISUAL_DINHEIRO.md | C:\unificard\docs\_archive\fluxo_visual_dinheiro_duplicado.md"
"82F6C5D89C3D4F03EE5EF3806B0B8BC3DFF38528CA1A70AE48F13A7369F23D9B","2","C:\unificard\docs\CURSOR_PROMPT_FASE0_METADATA.md | C:\unificard\docs\prompts\CURSOR_PROMPT_FASE0_METADATA.md"
"90315A7A91DB2ADFAA92BBC62090FB56FD9F1F9365CAA60BC9ADD081CBEE4BC2","2","C:\unificard\docs\11_FASES\fase_5_event_creation\FASE_5_WIZARD_DATA_FLOW.md | C:\unificard\docs\11_FASES\fase_5_event_creation\birthday\FASE_5_WIZARD_DATA_FLOW.md"
"985948D9583004925DB7E730FBC880AF3BC8F23736FD65943541835A63C5359D","2","C:\unificard\docs\DIAGNOSTICO_EVENTOS_A.md | C:\unificard\docs\audit\diagnostico_eventos_a.md"
"9D05E3CBEBFF5A62BC6D85CBE9AC636EE32FDF016E3F678CE08C52046CD2D0C8","2","C:\unificard\docs\REGULAMENTO_EXECUCAO.md | C:\unificard\docs\dev\regulamento_execucao.md"
"9FCE922D10F9C4619E7E85CA8F9942CCB0DE3AA783DE1ADA6FDE6A0A1583D962","2","C:\unificard\docs\SPEC_DASHBOARD_CONFIANCA.md | C:\unificard\docs\decisions\spec_dashboard_confianca.md"
"A4CA460D6B6EEE5C1BD25B5A59C94D5C11091B1F4932C25BBC496B01CD3F144C","2","C:\unificard\docs\ESTADO_ATUAL_MODULO_EVENTOS.md | C:\unificard\docs\decisions\estado_atual_modulo_eventos.md"
"AD1CEA7B3EDE24978639EF6E98EEC2DDA41465729CF3D4D47D31CB42C4105FDA","2","C:\unificard\docs\PROPOSTA_STEP2_INTENCAO_FINAL.md | C:\unificard\docs\decisions\proposta_step2_intencao_final.md"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2","C:\unificard\docs\_archive\backend-error.log | C:\unificard\docs\_archive\backend-output.log"
"FE282218CD8B6E430327500A4891E18E4598D08A183D2EAFAA5180DB87A262D6","2","C:\unificard\docs\OBSERVABILIDADE_CONSTITUCIONAL.md | C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\OBSERVABILIDADE_CONSTITUCIONAL.md"
"FE3ACB4197AD641B967DE8AE1E8AF0A39F2E60F5164E7E31EAA26FABC05DBCED","2","C:\unificard\docs\USER_PROFILE_CONTRACT.md | C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\identidade\USER_PROFILE_CONTRACT.md"
"FE9B25C56CF837EAA3C8E1F803F7F60E678F60649CC42112322CE529D75C3303","3","C:\unificard\docs\GOLDEN_PATH.md | C:\unificard\docs\checklist\golden_path.md | C:\unificard\docs\FRONTEND\02_UX_E_UI\GOLDEN_PATH.md"
