"Timestamp","Action","Class","From","To","SHA256"
"20260122-071728","MOVE","technical","C:\unificard\docs\ARCHITECTURAL_GUARDRAILS.md","C:\unificard\docs\03_technical\ARCHITECTURAL_GUARDRAILS.md","835B5F578990DA4C99AC56B0F5D7F80ACAA1EB3E6260D26E3597A274E429AD6F"
"20260122-071728","MOVE","technical","C:\unificard\docs\ARCHITECTURAL_SOURCE_OF_TRUTH.md","C:\unificard\docs\03_technical\ARCHITECTURAL_SOURCE_OF_TRUTH.md","8FF6B3E0F26969D07357867A65FC42583F87CF1FA0008DF2C1E7C4B45CA23E65"
"20260122-071728","MOVE","technical","C:\unificard\docs\ARCHITECTURAL_VALIDATION.md","C:\unificard\docs\03_technical\ARCHITECTURAL_VALIDATION.md","4AB95FC106B09DB73663D476BE10BD276A94EFCEB6183289D1FB688C213193A9"
"20260122-071728","MOVE","technical","C:\unificard\docs\ARCHITECTURE_CATEGORY_CORE.md","C:\unificard\docs\03_technical\ARCHITECTURE_CATEGORY_CORE.md","524EB61404AC9797307F8F215CCE93DB3B9155512B7F393105D53B76E96C33F2"
"20260122-071728","MOVE","normative","C:\unificard\docs\CANONICAL_CONTEXT_FOR_AI.md","C:\unificard\docs\01_normative\CANONICAL_CONTEXT_FOR_AI.md","F23C0A5DE3635338E2BD55AADD775FE92C10F815347CE2740F313A1C3CBDE6E8"
"20260122-071728","MOVE","normative","C:\unificard\docs\groups-create-contract.md","C:\unificard\docs\01_normative\groups-create-contract.md","1D1FA9F481B7BC12FBD3A2D36EDA6B66F1AE2A9F65FA9E91D8465012ECED5E8A"
"20260122-071728","MOVE","guides","C:\unificard\docs\README_CURSOR_MODE.md","C:\unificard\docs\04_guides\README_CURSOR_MODE.md","89237963C6331DA710A4297AA40B973DA96E3397C2D771025474B41EDC165476"
"20260122-071728","MOVE","guides","C:\unificard\docs\README_ORGANIZACAO.md","C:\unificard\docs\04_guides\README_ORGANIZACAO.md","86F617E16FAB78050F130D80AFB1BDFCCE7C6D32FF1D2D921741D0933928E326"
"20260122-071728","MOVE","guides","C:\unificard\docs\README.md","C:\unificard\docs\04_guides\README.md","BC12335120055A093582C34E118A0BA2931D6B12D6546B04DC69CA0377510B69"
"20260122-071728","MOVE","decisions","C:\unificard\docs\SERVICE_BOOKING_DECISION_IMPLEMENTACAO.md","C:\unificard\docs\02_decisions\SERVICE_BOOKING_DECISION_IMPLEMENTACAO.md","D0ADF8773B661F8E5A88D8F2246D395C2F06325DD2A6322C345DEEC80CD3CAF0"
