"Timestamp","Class","From","To","MatchedRule","SHA256"
"20260122-073046","technical","C:\unificard\docs\ANALISE_CIRURGICA_FASE_3_7.md","C:\unificard\docs\03_technical\ANALISE_CIRURGICA_FASE_3_7.md","FASE_","932F5BD5914E34934DD391F554C3619604805168C444C12855E449F6DE80D61F"
"20260122-073046","technical","C:\unificard\docs\ANALISE_MODULO_EVENTOS.md","C:\unificard\docs\03_technical\ANALISE_MODULO_EVENTOS.md","EVENT","6E904C26969CB645DF7C3626A44BCEDA01E56C5B0069FF376FEF2520C9A751A9"
"20260122-073046","decisions","C:\unificard\docs\AUDIT_REPORT_V2.md","C:\unificard\docs\02_decisions\AUDIT_REPORT_V2.md","AUDIT","237CADC35D37EEF278B46B3CE42D821418943B7246F13646372C82E694322898"
"20260122-073046","decisions","C:\unificard\docs\audit-health-profile-integration.md","C:\unificard\docs\02_decisions\audit-health-profile-integration.md","AUDIT","7C200FA58123756993B71AF907E498C345B43DC3CB833F6ACAA7CF955980EC87"
"20260122-073046","decisions","C:\unificard\docs\audit-professional-categories.md","C:\unificard\docs\02_decisions\audit-professional-categories.md","AUDIT","9993571D38E64BACA4BAD64AA873B94AD29C29176904E297CA714641D5E7FA5F"
"20260122-073046","decisions","C:\unificard\docs\AUDITORIA_FINAL_EDUCACAO.md","C:\unificard\docs\02_decisions\AUDITORIA_FINAL_EDUCACAO.md","AUDIT","F6751457A985DC3397700295327D6DCB496E3BF58AC6D7B3582F2A0F0A4F8417"
"20260122-073046","decisions","C:\unificard\docs\AUDITORIA_MATCHING_EDUCACAO.md","C:\unificard\docs\02_decisions\AUDITORIA_MATCHING_EDUCACAO.md","AUDIT","8DE4B52893B932260915CAF1ED5746C872B86AA3342E6C43133C49A55F23F308"
"20260122-073046","decisions","C:\unificard\docs\AUDITORIA_MODELO_ACTORS.md","C:\unificard\docs\02_decisions\AUDITORIA_MODELO_ACTORS.md","AUDIT","0CB6A54F6C3BA7D3AEA0FE48298E9906D935D22EAFAABD508A8FD73F4C576293"
"20260122-073046","decisions","C:\unificard\docs\AUDITORIA_MODULO_APRENDIZADO.md","C:\unificard\docs\02_decisions\AUDITORIA_MODULO_APRENDIZADO.md","AUDIT","560CA852EDEFCB9101AC460F850EDF10C1EA5A8B61B7CE3D30BFD55BAB5395FC"
"20260122-073046","decisions","C:\unificard\docs\AUDITORIA_OWNERSHIP_FINANCEIRO_FASE1.md","C:\unificard\docs\02_decisions\AUDITORIA_OWNERSHIP_FINANCEIRO_FASE1.md","AUDIT","9A042D01525B8EC59B076315D6EF1845F28CDD29775AE6EDD50E5B7737958DBD"
"20260122-073046","decisions","C:\unificard\docs\category-input-gate-complete.md","C:\unificard\docs\02_decisions\category-input-gate-complete.md","GATE","BA3CE1A6FE19150C182BED12041264337FA0D5461F65C3A9ECB52845AFC631FB"
"20260122-073046","decisions","C:\unificard\docs\category-input-gate.md","C:\unificard\docs\02_decisions\category-input-gate.md","GATE","DAAAD16CC10FE5E54E5F3E01F066C54E4357B512C06FB06963A223D972BBC1B4"
"20260122-073046","decisions","C:\unificard\docs\CHECKLIST_ATIVACAO_PILOTO_INTERNO.md","C:\unificard\docs\02_decisions\CHECKLIST_ATIVACAO_PILOTO_INTERNO.md","CHECKLIST","9C5B3C025C90916363B2BE8DB261F399C8BAA2EA0CE894B8D68BE60D0AAECDA8"
"20260122-073046","decisions","C:\unificard\docs\CHECKLIST_IMPLEMENTACAO.md","C:\unificard\docs\02_decisions\CHECKLIST_IMPLEMENTACAO.md","CHECKLIST","DA9C40F7EE8515EC86E6DABF11BC689D445977E527AA2E90082EEA0F549CAE8F"
"20260122-073046","decisions","C:\unificard\docs\CHECKLIST_PRE_FRONTEND_OBRIGATORIO.md","C:\unificard\docs\02_decisions\CHECKLIST_PRE_FRONTEND_OBRIGATORIO.md","CHECKLIST","C4A1A60D67B933149531A0EEDCCBF6C74C14B3C4F1F81BF538A99C73A735E29C"
