"File","From","To","Class"
"ACORDO_FINAL_CLAUDE_CHATGPT.md","ROOT","99_archive\to_review","review"
"AGENDA_FUNCIONARIOS_DECISOES_TECNICAS.md","ROOT","99_archive\to_review","review"
"AJUSTES_UX_SERVICE_ORDERS.md","ROOT","99_archive\to_review","review"
"ANALISE_CHATGPT_VS_CLAUDE.md","ROOT","99_archive\to_review","review"
"ANALISE_COMPLETA_MODULO_GRUPOS.md","ROOT","99_archive\to_review","review"
"ANALISE_ESTADO_ATUAL_PROXIMOS_PASSOS.md","ROOT","99_archive\to_review","review"
"ANALISE_MEGA_REDE_SOCIAL_UNIFYCARD.md","ROOT","99_archive\to_review","review"
"ANALISE_MODULO_RIDES.md","ROOT","99_archive\to_review","review"
"ANALISE_MODULO_SERVICES.md","ROOT","99_archive\to_review","review"
"analysis","ROOT","99_archive\to_review","review"
"Anti_Patterns_Educacionais_UnifiCard.md","ROOT","99_archive\to_review","review"
"ANTI_PATTERNS.md","ROOT","99_archive\to_review","review"
"ARQUITETURA_PLUGIN_SYSTEM.md","ROOT","99_archive\to_review","review"
"ARQUITETURA_SOCIAL_HUB_2025.md","ROOT","99_archive\to_review","review"
"ARQUITETURA-COMPLETA.md","ROOT","99_archive\to_review","review"
"AVAILABILITY_CONFLICT_INBOX_INTEGRACAO.md","ROOT","99_archive\to_review","review"
"AVAILABILITY_PARTICIPANTS_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"BACKLOG_CRESCIMENTO.md","ROOT","99_archive\to_review","review"
"BRIEFING_PARA_CHATGPT.md","ROOT","99_archive\to_review","review"
"CAMADA-SUGESTOES.md","ROOT","99_archive\to_review","review"
"CAPACIDADES_ACTOR_CONTRATO.md","ROOT","01_normative","normative"
"CATEGORIAS_GRUPOS_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"CICLO_VALOR_VISIVEL_DASHBOARDS.md","ROOT","99_archive\to_review","review"
"CLASSIFICACAO_UI_MODULOS_CANONICA.md","ROOT","99_archive\to_review","review"
"CLAUDE.md","ROOT","99_archive\to_review","review"
"COMPANY_MEMBERS_BASE_ESTRUTURAL.md","ROOT","99_archive\to_review","review"
"CONTRATO_FEED_MATCHING_UNIFICARD.md","ROOT","01_normative","normative"
"CORE_FINANCEIRO_INVARIANTES.md","ROOT","99_archive\to_review","review"
"CORRECOES_FINAIS_EDUCACAO.md","ROOT","99_archive\to_review","review"
"CORRECOES_MODELO_ACTORS.md","ROOT","99_archive\to_review","review"
"CORRECOES_MODULO_APRENDIZADO.md","ROOT","99_archive\to_review","review"
"CORRECOES_NECESSARIAS.md","ROOT","99_archive\to_review","review"
"CORRECOES_PRATICAS.md","ROOT","99_archive\to_review","review"
"CORRECOES_URGENTES.md","ROOT","99_archive\to_review","review"
"CULTURAL_PROFILE_MODEL.md","ROOT","99_archive\to_review","review"
"CURSOR_GUARDRAILS.md","ROOT","99_archive\to_review","review"
"CURSOR_INSTALAR_BANCO_AUTOMATICO.md","ROOT","99_archive\to_review","review"
"CURSOR_INSTALAR_BANCO_CONSOLIDADO.md","ROOT","99_archive\to_review","review"
"CURSOR_INSTALAR_BANCO_FINAL.md","ROOT","99_archive\to_review","review"
"cursor_modelo_de_ator_para_cria_o_de_po.md","ROOT","99_archive\to_review","review"
"cursor_plano_de_execu_o_imediato_do_sis.md","ROOT","99_archive\to_review","review"
"CURSOR_PROMPT_BUILD_PATHS.md","ROOT","04_guides","guides"
"CURSOR_PROMPT_FASE0_METADATA.md","ROOT","04_guides","guides"
"CURSOR_PROMPT_FASE0B_VISIBILITY.md","ROOT","04_guides","guides"
"DIAGNOSTICO_401_ACTORS.md","ROOT","99_archive\to_review","review"
"DIAGNOSTICO_AGENDA_CATEGORIAS.md","ROOT","99_archive\to_review","review"
"DIAGNOSTICO_ERRO_REGIONAL_FUND.md","ROOT","99_archive\to_review","review"
"DIAGNOSTICO_MODULOS_COMPLETO.md","ROOT","99_archive\to_review","review"
"DIFFS_COMPANIES_SERVICE_FINAL.md","ROOT","99_archive\to_review","review"
"DIRECIONAMENTO_FINAL.md","ROOT","99_archive\to_review","review"
"ECONOMIC_DASHBOARD_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"ECOSSISTEMA_MINIMO_COMPLETO.md","ROOT","99_archive\to_review","review"
"EFFECTS_ACTOR_CONTRATO.md","ROOT","01_normative","normative"
"ENCERRAMENTO-ATIVACAO.md","ROOT","99_archive\to_review","review"
"ESCOPO_PILOTO_FECHADO.md","ROOT","99_archive\to_review","review"
"ESTRUTURA_MENU_LATERAL.md","ROOT","99_archive\to_review","review"
"EXECUTION_REPORT.md","ROOT","99_archive\to_review","review"
"FECHAMENTO_CICLO_READONLY.md","ROOT","99_archive\to_review","review"
"FEED_PLUGIN_BATCH_CACHE.md","ROOT","99_archive\to_review","review"
"FEED_PLUGIN_SYSTEM_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"FEED-CONTEXTUAL.md","ROOT","99_archive\to_review","review"
"FLUXO_SERVICE_ORDERS_AGENDA.md","ROOT","99_archive\to_review","review"
"FLUXO_VISUAL_DINHEIRO.md","ROOT","99_archive\to_review","review"
"FRAMEWORK_OBSERVACAO_PILOTO.md","ROOT","99_archive\to_review","review"
"GO_LIVE_PILOT.md","ROOT","99_archive\to_review","review"
"GO_TO_MARKET.md","ROOT","99_archive\to_review","review"
"GROUP_CREATION_POLICY.md","ROOT","99_archive\to_review","review"
"GROUP_DASHBOARD_READONLY.md","ROOT","99_archive\to_review","review"
"GUIA_ESCALABILIDADE_MODULOS.md","ROOT","99_archive\to_review","review"
"HARDENING_MVP_FINAL.md","ROOT","99_archive\to_review","review"
"HEALTH_INTELLIGENT_SYSTEM.md","ROOT","99_archive\to_review","review"
"HEALTH_MATCHING_EXPLANATION.md","ROOT","99_archive\to_review","review"
"HEALTH_RELATIONAL_MODEL_QUERIES.md","ROOT","99_archive\to_review","review"
"IDENTIDADE_INSTITUCIONAL_DECISAO.md","ROOT","02_decisions","decisions"
"IDENTIDADE_INSTITUCIONAL.md","ROOT","99_archive\to_review","review"
"IMPACTO_PASSIVO_READONLY.md","ROOT","99_archive\to_review","review"
"IMPLEMENTACAO_SERVICE_ORDERS_AGENDA.md","ROOT","99_archive\to_review","review"
"INDEX_INSTITUCIONAL.md","ROOT","99_archive\to_review","review"
"INSTRUCOES_APLICACAO_CPF.md","ROOT","99_archive\to_review","review"
"INTEGRACAO_ERP_CRM_REDE_SOCIAL.md","ROOT","99_archive\to_review","review"
"INTENTS_ACTOR_CONTRATO.md","ROOT","01_normative","normative"
"INTERESTS_AND_TASTES_EXPANSION.md","ROOT","99_archive\to_review","review"
"LOGICA_NAVEGACAO_WIZARD_ATUAL.md","ROOT","99_archive\to_review","review"
"LOGICA_NAVEGACAO_WIZARD_ESTRUTURADA.md","ROOT","99_archive\to_review","review"
"MATCHING-HUMANO.md","ROOT","99_archive\to_review","review"
"METRICAS_PRIORITARIAS.md","ROOT","99_archive\to_review","review"
"MEUS_COMPROMISSOS_READONLY.md","ROOT","99_archive\to_review","review"
"MODELO_ATOR.md","ROOT","99_archive\to_review","review"
"MODO_ATUACAO_FEED.md","ROOT","99_archive\to_review","review"
"MOTOR-INFERENCIA.md","ROOT","99_archive\to_review","review"
"OBSERVABILIDADE_CONSTITUCIONAL.md","ROOT","99_archive\to_review","review"
"OBSERVABILIDADE_PASSIVA.md","ROOT","99_archive\to_review","review"
"OPORTUNIDADES-SUAVES.md","ROOT","99_archive\to_review","review"
"OPPORTUNITY_DISPATCH_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"PAINEL_COMPROMISSOS_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"PENDENCIAS_READONLY.md","ROOT","99_archive\to_review","review"
"PERMISSOES_ACTOR_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"PILOTO_REAL_OPERACIONAL.md","ROOT","99_archive\to_review","review"
"PLANO_CONSOLIDACAO_SEQUENCIAL.md","ROOT","99_archive\to_review","review"
